제목,저자_상세,초록,키워드_상세,저자,저널명,발행기관,권,호,시작페이지,종료페이지,발행년도,주제분야,인용횟수,논문ID
로파이 힙합의 사례로 본 장르 유동성 양상 연구,서빛나래; 오한승,"본 논문에서는 대중음악의 인디 장르로서의 로파이 음악이 코로나 시기를 거치면서 급속도로 존재감이 커지며 대두되게 된 트렌드의 변화에 대해 음악적 관점과 함께 사회학적 측면에서 살펴보고 그 함의를 고찰해 보았다. 이를 위해 본론에서 기존의 음악 장르로서의 로파이 힙합 장르의 역사적 맥락과 음악적 특징, 그리고 장르적 정체성에 대해 제시하였고 이것이 최근의 음악 큐레이션 환경에서 어떻게 변질된 의미로 대중들에게 재인식되었는지를 살펴보았다. 기존의 대중음악 매체가 음악의 범주와 청취자의 범주 사이의 연관성을 심화시켰다면, 현재의 음악 스트리밍 트렌드는 대중음악 문화에서 '장르 유동적' 음악 제작, 큐레이션, 소비를 둘러싼 개념과 장르의 초월이라는 개념과 연관되어 있다. 로파이(Lofi) 음악 장르 또한 원래의 장르 정체성에서 벗어나 탈 정체성의 과정을 거치면서 온라인 큐레이션 환경에서는 전통적 음악 장르로 정의 내리기 어려운 장르 유동적인 성격을 띠게 되었다. 이는 어디서든 음악을 접할 수 있는 유비쿼터스 청취 환경과 후기 자본주의 사회의 정신노동 환경이 IT기술의 알고리즘 추천을 토대로 일반화되었다는 것을 의미한다.",Lofi Hiphop; Music Curation; Genre Fluidity; Ubiquitous Listening; Algorithmic Recommendation,오한승,한국산학기술학회논문지,한국산학기술학회,25,8,379,388,2024,공학일반,0,ART003113290
디지털 환경에서 전자책 서비스 품질 분석에 관한 연구 - 경기도사이버도서관을 중심으로 -,강윤경; 김동혁; 신정아,"본 연구는 전자책 시장 및 디지털 읽기가 증가하는 환경에서 공공도서관이 제공하는 전자책 서비스 현황을 살펴보고 이용자의 요구분석을 통해 활성화 방안을 마련하는 것에서 출발하였다. 이를 위해 경기도사이버도서관 이용자들을 대상으로 도서관의 전자책 서비스를 어떻게 인식하고 있는지 IPA(중요도-만족도 분석) 방법을 통해 살펴보았다. 전자책 서비스 품질을 전자책 시스템, 콘텐츠 품질, 개인화 큐레이션 등으로 구분하여 파악한 결과, 전자책 서비스에서 최신 도서 보유, 유용한 정보 제공, 북큐레이션 및 맞춤형 서비스 제공 등이 아주 기본적이지만 중요한 요소임을 확인할 수 있었다. 이러한 속성을 중심으로 최신 도서를 적극 보유하고, 이용자 지원 서비스를 강화하고, 전자책 이용을 장려할 수 있도록 사서 추천도서 및 연계 프로그램 등을 집중적으로 마련할 필요가 있다. 또한 맞춤형 북큐레이션도 주목해야 한다. 도서관에서 북큐레이션 서비스는 생성형 AI 등 인공지능 발달과 함께 빠르게 변화하는 이용자의 요구와 외부 정보 서비스에 대응하기 위한 방안으로 전자책 서비스 확장을 위해 반드시 필요한 속성이다. 본 연구를 통해 밝혀진 전자책 이용의 핵심 요인과 중점 요인 등을 고려하여 전자책 이용 활성화를 위한 자료가 되길 기대한다.",전자책 서비스; 경기도사이버도서관; 디지털정보자원; IPA; 디지털도서관; 전자책 서비스 품질 평가,신정아,한국도서관·정보학회지,한국도서관·정보학회,55,4,339,362,2024,문헌정보학,0,ART003156838
가정간편식 구독서비스의 고객가치공동창출에 영향을 미치는 요인: 가치기반수용모델(VAM)을 기반으로,이수진; 정병규,"본 연구는 가정간편식 구독서비스의 고객가치공동창출에 영향을 미치는 요인에 대해 실증분석하기 위해이루어졌다. 기반이론으로 VAM(Value based Adoption Model)을 토대로 혜택요인으로 유용성, 즐거움, 편의성, 큐레이션을 설정하고 희생요인으로 인지된 비용과 인지된 불안감을 독립변수로 설정하였다. 고객가치공동창출은7개의 하위요소(정보탐색, 정보공유, 책임행동, 피드백, 옹호, 도움, 인내)를 하나로 묶어 사용했다. 실증분석을 위해가정간편식 구독서비스 이용경험이 있는 사람을 대상으로 설문조사를 하였으며, 이중 유효한 200부를 대상으로분석하였다. 실증연구 결과는 다음과 같다. 혜택요인인 유용성, 즐거움, 편의성, 큐레이션은 모두 고객가치공동창출에유의한 정(+)의 영향을 미쳤다. 인지된 불안감은 고객가치공동창출에 유의한 부(-)의 영향을 미쳤다. 하지만 인지된비용은 유의성이 검정되지 않았다. 고객가치공동창출에 미치는 영향력의 크기는 큐레이션, 편의성, 유용성, 즐거움, 인지된 불안감 순으로 나타났다. 이러한 결과를 바탕으로 이론적 및 실무적 시사점을 제시하였다.",가정간편식 구독서비스; 고객가치공동창출; 혜택요인; 희생요인; 가치기반기술수용모델,정병규,대한경영학회지,대한경영학회,37,9,1561,1577,2024,경영학,1,ART003127577
국문장편소설의 현대적 출판과 대중화 전략,정혜경,"이 글의 목적은 국문장편소설의 현대적 출판 양상을 총체적으로 살펴 현대적 출판 방향과 대중화 전략을 모색하는 데 있다.
국문장편소설의 현대적 소통력을 높이려면 현대 출판물의 서지 데이터를 집적하여 출판 생태계 전반을 이해하고 소비문화와 유통사적 맥락에서 현대적 출판을 새롭게 구성할 필요가 있다. 이에 지금까지 영인(影印), 교주(校註), 현대역된 국문장편소설의 서지 데이터를 한데 모아 정리하고 이를 토대로 현대적 출판 행로를 추적하였다. 현대적 출판은 1962년 〈임화정연〉을 현대적 수법으로 옮기는 데서 시작하여 1970〜1980년대 영인이 중심이 된다. 1990년대 전체 출판량은 전 시기 대비 감소하지만, 2000년대 대중적 출판과 함께 다시 증가한다. 2010년 가장 많은 현대역본(7종)이 출간된 후 매년 1〜2종이 현대역된다. 그럼에도 아직 60%에 가까운 작품이 현대어로 옮겨지지 못했으며 〈임화정연〉처럼 새로운 현대역이 필요한 작품도 상당했다.
이어 흥행력이 검증된 작품을 유통사적 맥락에서 발굴하여 우선 번역할 대상을 선정함으로써 텍스트 수용 가능성을 높이고자 하였다. 이본 총량과 매체 수용력을 근거로 우선 번역할 텍스트를 선별하면 현대역본이 부재한 〈화씨충효록〉, 〈유효공선행록〉, 〈명주기봉〉 등과 새로운 현대역본이 필요한 〈현씨양웅쌍린기〉, 〈하진양문록〉, 〈임화정연〉 등이 그 대상이 된다. 연작 지향성이 강한 장르적 특성을 살려 시리즈물로 출판할 경우 모든 연작이 인기를 끈 〈현씨양웅쌍린기〉 연작과 〈유효공선행록〉 연작이 우선순위를 차지한다.
또한, 국문장편소설의 미감을 현대 독자에게 효과적으로 전달하기 위해 콘텐츠 이용 형태와 장르적 속성을 고려한 출판 형태와 방향을 탐색하였다. 축약본과 오디오북으로 출판 형태를 다양화하고 구독형 플랫폼으로 이용 경로를 확장하는 것이다. 대중화는 매체와 플랫폼의 전환만으로 불충분하기에 대중적 확산과 고전 브랜딩 전략을 추가로 제안하였다. 이에 대한 방안으로 교육성과 공유, 큐레이션 서비스, 전문 번역가와 창작자 육성, 고전 읽기와 쓰기의 다양한 인력 확보, 그리고 학회의 역할 변화 등이 있다. 이러한 실천이 더해질 때 국문장편소설을 대중의 곁으로 더 가까이 돌려보낼 수 있을 것이다.",고전 대중화; 국문장편소설; 출판; 현대역; 축약본; 오디오북; 브랜딩; 큐레이션,정혜경,韓國古典硏究,한국고전연구학회,,56,123,161,2022,고전산문,11,ART002817324
대통령기록포털 검색어 로그 분석 기반 이용자 정보요구 분석,오효정; 이수현,"최근 방대한 정보자원 속에서 이용자가 원하는 정보를 제공하기 위해 이용자 정보요구를 파악하여 맞춤형 서비스를 제공하는 큐레이션의 중요성이 커지고 있다. 이에 본 연구는 역사적 가치가 높은 대통령 기록물의 활용 가치 향상을 위해 대통령기록포털의 검색어 로그 분석을 통해 이용자 정보요구를 파악하고자 한다. 또한, 현 대통령기록포털에서 이용자의 정보요구에 부합하는 기록정보서비스를 제공하고 있는지 검색 품질을 파악함으로써 디지털 기록 큐레이션 서비스를 통해 개선할 요소를 제시하고자 한다. 이를 위해 최근 8년간의 검색어 로그를 기반으로 주제 분석, 워드 네트워크 분석을 수행하고, 이용자 요구가 높은 분야를 중심으로 대통령기록포털의 검색 품질을 정확도 관점에서 평가하였으며, 분석 결과를 기반으로 시사점을 도출하였다. 본 연구는 대통령 기록물 대상의 디지털 기록 큐레이션을 위한 사전적 연구로서, 이용자의 구체적인 정보요구를 파악하고 기록관 포털 사이트의 검색 품질을 정량적으로 수치화하여 이용자 만족도 향상을 위한 실효성 있는 연구를 수행하였다는 점에서 의의가 있다.",대통령기록포털; 이용자 정보요구; 검색어 로그 분석; 검색 평가; 워드 네트워크 분석,이수현,한국기록관리학회지,한국기록관리학회,24,3,23,44,2024,기록관리/보존,1,ART003112604
40~50대 중년 여성의 패션 애플리케이션 활용 실태 및 스타일링 고려사항 연구,김동은; 이정은,"This study aims to derive the need for middle-aged women to consider using fashion product applications, styl- ing, and personalized styling services. To analyze the fashion styling considerations of middle-aged women, 200 women in their 40s and 50s were surveyed. Middle-aged women usually tend to shop through home shopping, department stores, fashion soho (Small office home office) malls, and open market-type applications, and purchase fashion products more than two or three times a month, spending an average of less than 50,000 won per month. Middle-aged women consider choos- ing appropriate clothing based on the occasion and place, complementing the flaws of the changed body type as well as taking into account the weather in the styling process, and seek to showcase a sophisticated, luxurious, and youthful image through styling. However, they are confused and face difficulties in fashion styling, with regard to not only overall body shape but also partial body changes, such as increasing waistline, flabby thighs and arms, and decreasing hip volume. In addition, middle-aged women were looking for expert advice on styling to help them look the best. They also wanted to solve the difficulties of making a right choice amid the overflowing information related to fashion. The results of the study contribute to identifying products that meet the needs of middle-aged women and help develop detailed consumer- tailored marketing strategies, thereby improving sales of fashion products.",중년 여성; 패션 애플리케이션 활용 실태; 패션 스타일링; 패션 큐레이션,이정은,한국의류산업학회지,한국의류산업학회,24,3,279,288,2022,생활과학,0,ART002858812
D2C 전략에 관한 연구: 나이키 사례를 중심으로,배일현; 서용구; 이소영,"본 연구는 최근 다국적기업들로부터 주목받고 있는 D2C전략에 초점을 두고 진행되었다. 디지털 트랜스포메이션이 산업생태계에 혁신적인 변화를 요구하는 상황과 Covid-19로 인한 비대면 소비트렌드의 확산이 맞물려 D2C전략은 다국적기업들의 유통 혁신전략으로 급부상하였다. 이러한 상황에서, 본 연구는 나이키의 D2C(Direct-to- customer) 전략에 대한 사례를 통해 심층 분석하였다.
연구결과는 다음과 같다. 첫째, 제조업체에서의 D2C 전략은 유통수수료 절감의 혜택뿐만 아니라 직접 고객과의 거래하는 방식으로 마케팅 및 브랜딩의 엄격한 통제가 가능하며 이를 통해 기업은 브랜드 이미지 고도화를 진행할 수 있다. 둘째, 위와 같은 전략으로 나이키는 제품중심의 기능적 관점에서 경험을 중시하는 관점으로 변화했으며, 아울러 소비자대상이 아닌 팬에 의한 나이키로 변화하고 있다. 이러한 결과는 나이키의 혁신적이면서 미래지향적인 시각을 엿볼 수 있는 결과이다. 그러나 한편으로는 나이키같은 브랜드파워가 있는 기업들의 경우에는 D2C전략이 가능하지만, 브랜드파워가 약한 기업의 경우에는 D2C전략을 도입하는 데 여러 가지 요인을 고려한 후 도입해야 한다는 시사점을 제공하고 있다. 마지막으로, 나이키는 IT기반의 기업을 인수하면서 정밀한 분석과 예측모델을 구축하고 있는데 이는 기존 세일즈 관점에서 추천하는 큐레이션의 영역을 확보하고자 하는 과정으로 볼 수 있다. 이러한 결과는 향후 제조업체의 나아가야 할 방향을 제시하고 있다.
본 연구는 디지털 트랜스포메이션 가속화를 위한 Nike Direct Customer Acceleration 전략을 중심으로 살펴보았다. 즉, 나이키의 D2C 전략에 대한 사례분석을 통해 디지털트랜스포메이션 상황에서의 기업의 지속가능한 수익성 확보와 경쟁우위에 대한 의미있는 시사점을 제공하고 있다.",D2C; 멤버십; 앱; 한정판마케팅과 리셀문화; 디지털 고객경험; 큐레이션,서용구,상품학연구,한국상품학회,40,6,149,156,2022,경영학,2,ART002925249
뉴미디어 환경에서의 문화 다양성과 불평등,궁선영,"급격히 변화하는 미디어 환경 속에 우리의 문화소비 방식도 크게 달라지고 있다. 오늘날 일상의 중심에 자리 잡은 OTT 플랫폼은 시간과 장소의 제약 없이 수많은 콘텐트를 즐기는 새로운여가 문화를 만들어냈다. 기술 발전이 이루어낸편리하고 풍요로운 문화 환경은 그러나 여러 가지 문제와 한계를 드러낸다. 문화 소비의 단순한 양적 증가가 곧 문화 수준의 질적인 향상을의미하는가? 넘쳐나는 콘텐트에 대한 해법으로활용되는 맞춤형 큐레이션 서비스가 과연 개인의 문화적 소양에 긍정적으로 작용하는가? 그리고 새로운 미디어 환경이 기대만큼 폭넓은 문화 체험과 참여의 기회를 제공하는가? 이 논문은 이러한 문제들을 살펴보고, 규격화된 콘텐트와 대중적 취향에 국한된 디지털 미디어 기술이 문화적 다양성을 실현하지 못하고 있음을 밝힌다. 편리와 효율을 추구하는 기술 기반의 문화 시스템은 대중의 요구와 시장의 논리에 부합할 뿐, 문화를 특색 없고 평평하게 만들어간다.
이 글은 문화적 대중화, 평준화가 문화 향유의기회 및 수준의 평등을 이루는 조건은 아니라는점을 지적하며, 다양한 문화 체험과 향유를 이끌어낼 디지털 미디어 기술의 역할과 책임을 강조한다.",뉴미디어; 콘텐트 큐레이션; 문화적옴니보어; 문화다양성; 문화불평등; 문화민주화,궁선영,Oughtopia (오토피아),인류사회재건연구원,37,2,39,67,2022,기타정치외교학,2,ART002889451
국가과학기술표준분류체계 기반 과학기술 콘텐츠의 자동 주제 분류 연구,설재욱; 이혜진; 최원준,"주제 분류는 모든 학술 콘텐츠 서비스의 근간이 되는 중요한 요소이다. 이는 연구자들이 필요한 학술 정보를 효율적으로 찾을 수 있도록 도와줌으로써 접근성을 향상시킨다. 또한, 콘텐츠별 주제 분류는 데이터의 분석과 연구 결과의 공유를 용이하게 하여 학문적 성과를 극대화하는 데 기여한다. 이러한 필요성에 따라, 국가과학기술표준분류를 기반으로 다양한 과학기술 콘텐츠의 자동 주제 분류를 위한 연구를 수행하였다. 본 연구에서는 국가과학기술정보서비스(NTIS)에 제출되는 연구과제 데이터를 활용하여 국내 논문, 국내 연구보고서, 특허 데이터에 과학기술표준분류의 중분류와 소분류를 맵핑하여 학습데이터를 구축하는 방법을 소개한다. 또한, 구축한 데이터셋을 활용하여 BERT 기반의 중분류, 소분류 자동 분류 모델을 학습하였다. 결과적으로, 중분류 모델은 5.9의 Mean Rank(MR) 결과를 보였으며, 특히 상위 3개 예측 결과에서 높은 정확도를 보였다. 본 연구를 통해 구축된 코퍼스는 https://aida.kisti.re.kr에서 다운로드 할 수 있다.",국가과학기술표준분류; 주제 분류; 코퍼스 구축; 과학기술 콘텐츠; 정보 서비스,최원준,한국콘텐츠학회 논문지,한국콘텐츠학회,24,9,1,10,2024,학제간연구,0,ART003124412
"네이버에서 ‘사장님’ 이미지 검색해 보라, 사용자 선호는 어디에 있나?: 성애화된 이미지의 생산, 유통 그리고 소비",윤호영; 진보래,"본 연구는 네이버 포털 이미지 검색에서 여성 신체와는 연관성이 전혀 없는 검색어에도 여성 신체 이미지에 대한 관음적인 시선의 검색 결과가 나타나는 현상에 주목하여, ‘사장님’ 또는 ‘은근’과 같은―성적인 것과 무관하다는 의미에서―중립 검색어가 인터넷에서 성애화된 이미지를 소환하는 단어로 생산-유통-소비되는 구조를 살펴보았다. 여성의 성애화 또는 신체 대상화가 누구에 의해 어떻게 만들어지는지, 포털 알고리즘은 이를 어떻게 큐레이션하는지를 드러내고, 디지털 성적 대상화 이미지의 공유가 어떻게 주류의 문화 소비로 연계되는지 그 연원을 밝히고자 했다. 이를 위해 성애화 이미지가 검색되는 검색어를 수집하였고, 검색어 마다 검색 결과 이미지를 확보하였으며, 각 이미지의 출처를 확인하고 분류하였다. 본 연구 결과에 따르면, 중립 검색어를 사용해도 성적 대상화된 여성 신체 이미지가 나타나는 이유는 언론, 블로그, 커뮤니티 등에서 지속적으로 만들어지는 콘텐츠가 검색엔진의 자사 콘텐츠를 우선하는 태그 기반 큐레이션 알고리즘에 결합된 결과였다. 특히, 알고리즘이 개인 선호도를 반영하고 있다는 증거는 찾을 수 없었다. 이러한 분석 결과는 기술이 매개하는 여성 신체 대상화를 남성의 제도화된 포르노그래피 소비 문화로 규정하는 거시적 관점과 개인의 온라인 커뮤니티 활동과 같은 일상적 행위에 관한 미시적 논의를 연결해 준다. 성애화된 여성 이미지 소비가 개인적인 일탈로서 사적 영역에만 존재하는 것이 아니라, 플랫폼의 큐레이션을 거치며 가시화되고 공개화(public)되고 당연한 것으로 받아들여지고 있었다. 본 연구는 성애화 이미지의 생산-유통-소비의 구체적인 연결고리를 중간 단계(meso level)에서 밝혀낸 사례이자 경험적 증거를 제공했다는 데 의의가 있다.",이미지 검색; 성애화; 기술매개 성폭력; 네이버; 사장님,윤호영,"미디어, 젠더 & 문화",한국여성커뮤니케이션학회,39,2,205,243,2024,신문방송학,0,ART003094007
"자치분권의 시작, 성북마을아카이브",강성봉,"성북마을아카이브는 성북구청과 성북문화원이 협력하여 지역의 고유성과 특수성을 담고자 구축한 마을아카이브이다. 공동체의 기록물을 보존하는 공동체 아카이브이자, 원천자료의 디지털화를 통해 데이터베이스를 구축해가는 디지털 아카이브이다. 민⋅관 거버넌스로 연차적⋅단계별 추진을 거쳐 관리시스템과 홈페이지를 구축하였다.
성북마을아카이브의 시스템은 고도화된 마을기록 표준분류체계를 바탕으로 자료축적과 개별 기록물 간의 연결이 원활히 이루어지도록 설계되었다. 성북문화원은 이를 바탕으로 기록물을 온⋅오프라인으로 연계하면서 융합문화콘텐츠를 생산하려고 노력하였다. 또한 기록물의 보존뿐 아니라 콘텐츠 생산 및 활용을 위해 홈페이지에 보여지는 항목 구성을 다양화했다. 성북의 역사문화자원을 어떻게 하면 이용자들에게 그 생성 및 존재를 맥락과 함께 보여줄 수 있을지에 대한 고민 끝에 만든 구조이다. 또한 다채로운 큐레이션과 주민기록단의 활동을 통해 보다 풍부한 아카이브 플랫폼을 구축하였다.",성북문화원; 성북마을아카이브; 공동체아카이브; 마을기록; 큐레이션; 주민기록단,강성봉,한국기록관리학회지,한국기록관리학회,22,1,237,243,2022,기록관리/보존,3,ART002815224
데이터 기반 R&D 지원을 위한 연구자의 학술정보 및 데이터 요구 분석 연구,orcid 바로가기; 김재훈; 이강산다정; 이석형; 이혜진,"본 연구에서는 연구자의 데이터 기반 R&D를 효율적으로 지원하기 위해 새로운 학술정보유형과 데이터셋을 발굴하고, 학술정보서비스의 방향을 제시하기 위한 선행 연구로서 연구자가 필요한 학술정보와 데이터 요구사항을 분석하였다. 이를 위해 관련 연구자 5인의 탐색적 사례 연구와 ScienceON 이용자의 온라인 설문을 통해 데이터 기반 R&D 행태 및 정보․데이터 요구사항을 도출하였다. 그 결과 데이터 기반 연구를 수행하는 연구자들은 학술논문을 많이 활용하며 데이터셋이나 소프트웨어 정보 또한 학술논문이나 학술회의자료로부터 참조하는 것으로 나타났다. 또한 주제 분야별로 활용하는 데이터 확보 방법, 획득 경로와 활용 데이터 유형이 차이가 있으며, 연구자들은 필요한 데이터셋이나 학습모델과 같은 소프트웨어가 어디에 있고 어떻게 확보해야할지 모르는 경우가 많아 연구를 수행하는데 애로사항이 많은 것으로 나타났다. 향후 데이터 기반 R&D를 지원하기 위해 주제별로 데이터셋을 체계적으로 구축해야할 필요가 있으며, 학술논문과 연계하여 데이터셋과 관련 소프트웨어 정보를 별도로 추출․요약해서 제공하는 방안을 고려해야 할 것으로 분석하였다.",학술정보요구; 데이터요구; 데이터 기반 R&D; 이용자 요구 분석; 탐색적 사례 연구,이석형,한국문헌정보학회지,한국문헌정보학회,58,1,255,283,2024,문헌정보학,1,ART003053358
re3data.org를 활용한 Geoscience 분야 데이터 리포지터리 평가 및 사례 연구,김선태; 김주섭,"연구데이터 공유 및 재사용을 위하여 데이터 리포지터리가 연구기관, 커뮤니티 그리고 국가를 중심으로 운영되고 있다. 현재, re3data.org에는 데이터 리포지터리가 3,236개가 등록되어 있으며 해당 리포지터리는 각 주제별로 운영되고 있다. 본 연구의 목적은 Geoscience 분야 데이터 리포지터리의 운영 현황을 파악하여 해당 분야의 리포지터리 서비스를 제공하기 위함이다. 연구 결과, Geoscience 분야 데이터 리포지터리 890개 중 634개가 9개 속성 중 4개 이상을 만족하고 있는 것을 나타나 약 74%의 리포지터리가 보편적으로 잘 운영되고 있다는 것을 확인하였다. 또한 해당 리포지터리에서 서비스를 확인한 결과 데이터 정책, 큐레이션, 도구 및 API 그리고 품질관리 측면에서 다양한 시사점을 제공하는 것으로 파악되었다. 이러한 연구 결과는 앞으로 Geoscience 분야 데이터 리포지터리 서비스 구성 시 참고할 수 있는 기초가 될 것이다.",re3data.org; 데이터 리포지터리; Coretrustseal; Geoscience; Master Data Repository,김주섭,한국문헌정보학회지,한국문헌정보학회,58,3,169,191,2024,문헌정보학,0,ART003111601
패션유통매장 VMD의 변화 분석,김지영,"본 연구는 패션브랜드 및 유통매장의 VMD와 관련하여 변화경향 및 트렌드에 대한 국내 뉴스기사를 수집하여 VMD의 구성요소의 틀을 기준으로 패션유통매장 VMD의 변화 특성을 도출하였다. 연구결과, 첫째, 패션유통 온오프라인 매장의 상생화이다. 온라인 패션 플랫폼의 오프라인 매장으로의 확장은 전체적인 비즈니스 성장을 도모하는 시너지효과를 가져온다. 둘째, 소비자의 라이프스타일이 중심이 되는 VM연출이다. 즉, 브랜드 콘셉트를 중심으로 연출된 VM이 아닌, 소비자의 니즈가 중심이 되는 큐레이션(curation) 매장이다. 셋째, 패션유통매장의 빅블러(big blur)현상과 대규모 몰링(malling)현상의 가속화이다. 패션유통매장의 기존 분류 기준의 영역 간 경계가 모호해지고, 유통매장 형태의 경계파괴 결과, 쇼핑, 외식, 오락, 문화, 레저를 원스톱으로 즐기는 복합문화공간으로 빠르게 변화하고 있다.",패션브랜드; 비주얼머천다이징; 패션유통매장; 백화점,김지영,전시디자인연구,대한전시디자인학회,21,2,51,61,2024,생활/실내디자인,0,ART003148441
어촌관광 활성화를 위한 디자인 주도 혁신 플랫폼 전략 연구,김경배,"본 논문은 현재 어촌이 직면한 인구 감소, 고령화, 그리고 노후화된 기반 시설로 인한 어려움을 극복하기 위해 정부가 추진 중인 '어촌뉴딜사업'의 한계를 극복하고, 지속 가능한 어촌관광 생태계 구축을 위한 디자인 주도 혁신 방안을 연구했다. 이 를 위해, 민・관・산・학 거버넌스를 기반으로 한 디자인 주도 프레임을 구축하고, 서비스디자인 관점의 큐레이션 플랫폼을 통해 어촌 지역의 콘텐츠와 정체성을 효율적이고 일관된 방식으로 반영할 수 있는 매력적인 경험을 제공하는 혁신 방안을 제안하였다. 연구는 어촌 관광의 현황과 정부 지원 사업의 문제점을 조명하고, 서비스디자인 개념과 디자인 주도혁신 이론 을 통해 플랫폼 전략의 제안했다. 마지막으로, 어촌관광 활성화를 위한 전략과 실행 방법론을 제시하며, 디자인 주도 플랫 폼 전략을 통한 어촌 지역의 지속 가능한 발전을 촉진하는 중요한 전략임을 강조하였다. 본 연구는 관련 분야의 정책연구 와 실무에 실질적인 기여를 제공할 것으로 기대된다.",어촌관광 활성화; 디자인 주도혁신; 서비스디자인; 혁신 플랫폼; 사용자경험디자인,김경배,상품문화디자인학연구,한국상품문화디자인학회,,76,235,246,2024,디자인일반,0,ART003069848
论FIRST青年电影展的独立精神及作品的题材趋向,代雅赤,"FIRST 청년영화제는 중국에서 주로 청년 영화인들과 그들의 작품을 발굴, 보급하는 데 주력하는 영화제 형태의 서비스 플랫폼이다. 중국의 주류 영화제와 달리 FIRST는 청년 영화인들이 서사 콘텐츠와 영화 언어 면에서 돌파구와 자기 표현을 갖춘 영화를 만들도록 장려하고 지지함으로써 독립영화제의 품격을 보여준다. 중국의 독립영화가 내리막길을 걷는 상황에서 FIRST는 영화 선정, 인재 육성, 큐레이션 등의 과정에서 독립정신을 갖고 독특한 발전 모델을 통해 청년 영화인들과 독립영화제의 발전에 새로운 길을 열어주었다. 동시에 독립 정신의 창도 아래 FIRST에 입선된 작품은 소재 면에서 주로 네 가지 경향을 보였다. 즉 개인의 성장 경험, 중국 농촌의 풍모, 여성의 생존 양태, 기층과 주변부 집단의 곤경이다. 이런 소재는 청년 영화인들이 역사적 경험과 개인의 현실적 체험에서 출발하여 중국 사회의 발전 과정에서 나타난 현대화의 후유증에 대해 응답한 것으로 리얼리즘과 휴머니즘의 색채를 띤다.",FIRST 영화제; 청년 영화; 독립 정신; 정신 연속; 창작 소재,代雅赤,중국어문논역총간,중국어문논역학회,,54,147,169,2024,중국어와문학,0,ART003048066
데이터 리터러시 교육과 송남잡지』,최원재,데이터 사회로 접어드는 시점에서 데이터 리터러시 교육에 대한 관심이 높은 가운데 이에 맞는 창의력 교육에도 주목해야할 필요가 대두되고 있다. 데이터 리터러시의 특징 중에서 데이터 큐레이션은 데이터를 배열하는 데 있어 인지적 비축분과 창의적 사고를 요구하는데 여기서 말하는 창의적 사고란 이성적 논리뿐 아니라 ‘아하! 순간’으로 불리는 직관적 통찰력(영감)도 포함한다. 데이터 큐레이션에 필요한 유추 능력은 데이터에 대한 완벽한 이해를 요구한다. 그리고 이러한 유추 능력을 기르는 데 시는 훌륭한 방법으로 이미 여러 사례가 있다. 특히 데이터를 바탕에 두는 관찰을 통한 시 짓기는 데이터 큐레이션을 만드는 창의적인 활동으로 수치 데이터 시각화 일변도의 데이터 리터러시 교육을 발전시키는 데 기여할 수 있을 것으로 보인다. 조선 후기에 활동한 송남 조재삼은 그가 교육 서적으로 규정한 그의 데이터베이스인 『송남잡지』에서 시를 활용한 데이터 큐레이션을 보여주는데 교육적 관점에서 보았을 때 이러한 양상은 다분히 데이터 리터러시를 교육하려는 목적을 지니고 있던 것으로 여겨진다. 이를 참고하여 오늘날 데이터 리터러시 교육에 접목시켜볼 만하다.,시맨틱 데이터 큐레이션; ‘아하! 순간’; 창의력; 시(詩); 『송남잡지』,최원재,한국학,한국학중앙연구원,44,4,187,220,2021,기타인문학,4,ART002783765
An Analysis of Card News and Deconstructing News Values in Curated News Contents in the Digital Era,배정근; 홍성철,"This paper explores the characteristics of curated news content. With content analysis of 1020 news clips, the study found that news values immersed in card news differed from those of traditional news. Specifically, timeliness was not regarded as a key factor in newsworthiness. Rather, information and social impacts were highly emphasized. Considering news consumers depend on traditional news for timely news, curated news content was not a replacement for traditional news but a supplement. By refurbishing photos from previous news reports and googling the web for related information, curated news reiterates social meaning and provides relevant information. Furthermore, salience of human interest can be explained by entertaining characteristics of curated news. In story forms, the list technique has several important points to stress, and was more frequently used than inverted pyramids. Another key finding of this study is man-on-the street as the most quoted main sources in the curatorial context.
본 연구는 새로운 뉴스 콘텐츠로서 카드뉴스를 분석하고 디지털시대에 뉴스가치의 변화에 대해 살펴보았다. 본 연구는 지난 2015 년 하반기에 국내 언론사를 통해 보도된 1020개의 카드뉴스에 대한 내용분석을 통해, 뉴스가치에 대한 전통적인 개념들이 변화되고있음을 확인하였다. 카드뉴스는 새롭게 취재하여 기사화하기보다는 저장된 기존 뉴스들을 재활용하면서, 뉴스가치로서 시의성 보다는 정보제공과 사회적 가치, 오락적 요소를 강조하고 있다. 이는 새로운 뉴스전달방식으로써 카드뉴스는 기존 뉴스에 대한 대체재가아니라 보완재임을 보여준다. 또한 역피라밋 형태의 글쓰기보다는 리스트 나열형의 기사 작성 방식이 선호되고, 취재원으로서 길거리 일반인(Man-on-the streets)이 자주 인용됨이 발견되었다.",Curated news content; Card news; News values; Inverted-pyramid technique; Timeliness;뉴스큐레이션;카드뉴스;뉴스가치;역피라밋글쓰기;시의성,홍성철,인터넷정보학회논문지,한국인터넷정보학회,18,2,105,111,2017,컴퓨터학,7,ART002220419
